timestamp,hr_bpm,source,context
2025-07-28 03:46:22 -0700,65.0,Baris’s Apple Watch,Not Set
2025-07-28 03:49:03 -0700,63.0,Baris’s Apple Watch,Not Set
2025-07-28 03:54:40 -0700,63.0,Baris’s Apple Watch,Not Set
2025-07-28 03:56:21 -0700,62.97562789916992,Baris’s Apple Watch,Not Set
2025-07-28 04:00:31 -0700,62.00000000000001,Baris’s Apple Watch,Not Set
2025-07-28 04:01:17 -0700,61.0,Baris’s Apple Watch,Not Set
2025-07-28 04:04:43 -0700,69.0,Baris’s Apple Watch,Not Set
2025-07-28 04:13:01 -0700,64.0,Baris’s Apple Watch,Not Set
2025-07-28 04:17:24 -0700,67.0,Baris’s Apple Watch,Not Set
2025-07-28 04:19:49 -0700,63.0,Baris’s Apple Watch,Not Set
2025-07-28 04:27:51 -0700,61.0,Baris’s Apple Watch,Not Set
2025-07-28 04:32:01 -0700,59.0,Baris’s Apple Watch,Not Set
2025-07-28 04:32:33 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 04:35:07 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 04:38:09 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 04:44:14 -0700,60.0,Baris’s Apple Watch,Not Set
2025-07-28 04:50:56 -0700,57.0,Baris’s Apple Watch,Not Set
2025-07-28 04:55:04 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 04:59:57 -0700,56.0,Baris’s Apple Watch,Not Set
2025-07-28 05:03:09 -0700,60.0,Baris’s Apple Watch,Not Set
2025-07-28 05:09:41 -0700,60.0,Baris’s Apple Watch,Not Set
2025-07-28 05:16:09 -0700,56.0,Baris’s Apple Watch,Not Set
2025-07-28 05:19:11 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 05:25:27 -0700,55.0,Baris’s Apple Watch,Not Set
2025-07-28 05:29:55 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 05:45:43 -0700,77.00000000000001,Baris’s Apple Watch,Not Set
2025-07-28 05:49:14 -0700,76.0,Baris’s Apple Watch,Not Set
2025-07-28 05:53:28 -0700,67.0,Baris’s Apple Watch,Not Set
2025-07-28 06:01:29 -0700,59.0,Baris’s Apple Watch,Not Set
2025-07-28 06:07:56 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 06:12:36 -0700,55.0,Baris’s Apple Watch,Not Set
2025-07-28 06:12:55 -0700,59.02935028076172,Baris’s Apple Watch,Not Set
2025-07-28 06:17:07 -0700,57.0,Baris’s Apple Watch,Not Set
2025-07-28 06:20:46 -0700,55.0,Baris’s Apple Watch,Not Set
2025-07-28 06:25:14 -0700,54.0,Baris’s Apple Watch,Not Set
2025-07-28 06:28:31 -0700,54.0,Baris’s Apple Watch,Not Set
2025-07-28 06:37:22 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 06:39:00 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 06:43:33 -0700,57.0,Baris’s Apple Watch,Not Set
2025-07-28 06:49:31 -0700,59.0,Baris’s Apple Watch,Not Set
2025-07-28 06:53:30 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 06:58:09 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 07:04:08 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 07:08:08 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 07:13:10 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 07:21:50 -0700,63.0,Baris’s Apple Watch,Not Set
2025-07-28 07:24:24 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 07:32:33 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 07:33:57 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 07:35:26 -0700,59.0,Baris’s Apple Watch,Not Set
2025-07-28 07:38:36 -0700,55.0,Baris’s Apple Watch,Not Set
2025-07-28 07:44:52 -0700,54.0,Baris’s Apple Watch,Not Set
2025-07-28 07:50:24 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 07:52:58 -0700,57.685359954833984,Baris’s Apple Watch,Not Set
2025-07-28 07:53:15 -0700,56.0,Baris’s Apple Watch,Not Set
2025-07-28 08:00:12 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 08:03:07 -0700,57.0,Baris’s Apple Watch,Not Set
2025-07-28 08:08:31 -0700,54.0,Baris’s Apple Watch,Not Set
2025-07-28 08:13:30 -0700,55.0,Baris’s Apple Watch,Not Set
2025-07-28 08:20:06 -0700,55.0,Baris’s Apple Watch,Not Set
2025-07-28 08:24:07 -0700,59.0,Baris’s Apple Watch,Not Set
2025-07-28 08:32:49 -0700,58.0,Baris’s Apple Watch,Not Set
2025-07-28 08:34:43 -0700,55.0,Baris’s Apple Watch,Not Set
2025-07-28 08:41:32 -0700,55.0,Baris’s Apple Watch,Not Set
2025-07-28 08:43:39 -0700,55.0,Baris’s Apple Watch,Not Set
2025-07-28 08:48:28 -0700,57.0,Baris’s Apple Watch,Not Set
2025-07-28 08:50:07 -0700,55.0,Baris’s Apple Watch,Not Set
2025-07-28 08:54:56 -0700,56.0,Baris’s Apple Watch,Not Set
2025-07-28 09:00:43 -0700,59.0,Baris’s Apple Watch,Not Set
2025-07-28 09:07:01 -0700,53.0,Baris’s Apple Watch,Not Set
2025-07-28 09:10:50 -0700,54.0,Baris’s Apple Watch,Not Set
2025-07-28 09:14:37 -0700,53.0,Baris’s Apple Watch,Not Set
2025-07-28 09:20:28 -0700,54.0,Baris’s Apple Watch,Not Set
2025-07-28 09:25:49 -0700,55.0,Baris’s Apple Watch,Not Set
